N_unmapped	1775685	1775685	1775685
N_multimapping	2138512	2138512	2138512
N_noFeature	2557376	7966899	8030268
N_ambiguous	6011355	1006778	1000413
Caust.v2_010917-RA	1	0	1
Caust.v2_010920-RA	54	31	25
Caust.v2_010919-RA	1	115	109
Caust.v2_010922-RA	0	0	0
Caust.v2_010925-RA	56	581	571
Caust.v2_010927-RA	1432	1427	1445
Caust.v2_010929-RA	3	329	328
Caust.v2_010931-RA	811	417	395
Caust.v2_010939-RA	0	0	0
Caust.v2_010942-RA	0	4	1
Caust.v2_010942-RA,Caust.v2_010942-RB	905	456	450
Caust.v2_010942-RB	0	0	0
Caust.v2_010943-RA	6641	3294	3347
Caust.v2_010945-RA	21	9	12
Caust.v2_010946-RA	55	21	34
Caust.v2_010947-RA	21	12	9
Caust.v2_010949-RB,Caust.v2_010949-RA	147	82	65
Caust.v2_010949-RB	0	0	0
Caust.v2_010949-RA	0	0	0
Caust.v2_010918-RA	2485	1328	1382
Caust.v2_010921-RA	1	0	1
Caust.v2_010924-RA	10	7	4
Caust.v2_010926-RA	966	1000	1062
Caust.v2_010928-RA	513	956	1001
Caust.v2_010930-RA	2839	1711	1778
Caust.v2_010932-RA	591	388	385
Caust.v2_010941-RA	860	462	479
Caust.v2_010948-RA	953	463	490
Caust.v2_010950-RA	172	89	83
Caust.v2_010936-RA	11	4	7
Caust.v2_010933-RA	0	89	93
Caust.v2_010940-RA	6	5	1
Caust.v2_010935-RA	0	0	0
Caust.v2_010944-RA	0	0	0
Caust.v2_010923-RA	0	1	0
Caust.v2_010934-RA	0	0	0
Caust.v2_010937-RA	3	3	0
Caust.v2_010938-RA	2	0	2
Caust.v2_010063-RA	12	3	12
Caust.v2_010063-RA,Caust.v2_010063-RB	0	23	30
Caust.v2_010063-RB	0	224	250
Caust.v2_010067-RA	26	52	37
Caust.v2_010067-RA,Caust.v2_010067-RB	2261	1133	1128
Caust.v2_010067-RB	7	5	2
Caust.v2_010071-RA	0	83	85
Caust.v2_010077-RA	1573	812	765
Caust.v2_010079-RB,Caust.v2_010079-RC	0	2	0
Caust.v2_010079-RB,Caust.v2_010079-RA,Caust.v2_010079-RC	0	126	128
Caust.v2_010079-RB,Caust.v2_010079-RA	0	0	0
Caust.v2_010079-RA	0	0	0
Caust.v2_010079-RC	0	0	0
Caust.v2_010083-RA	0	0	0
Caust.v2_010065-RA	0	406	425
Caust.v2_010066-RA	2059	1323	1357
Caust.v2_010068-RA	539	315	314
Caust.v2_010069-RB	1	0	1
Caust.v2_010069-RC,Caust.v2_010069-RB	613	315	298
Caust.v2_010069-RA	827	388	439
Caust.v2_010069-RA,Caust.v2_010069-RC	0	0	0
Caust.v2_010069-RA,Caust.v2_010069-RC,Caust.v2_010069-RB	1310	632	678
Caust.v2_010070-RA	611	361	418
Caust.v2_010072-RA	305	150	155
Caust.v2_010073-RA	42	27	15
Caust.v2_010074-RA	4	2	2
Caust.v2_010075-RA	6	3	3
Caust.v2_010076-RA	901	458	447
Caust.v2_010078-RA	5	236	239
Caust.v2_010080-RA	20	829	897
Caust.v2_010082-RA	23	8	18
Caust.v2_010085-RA	164	87	77
Caust.v2_010081-RA	0	10	19
Caust.v2_010064-RA	0	16	13
Caust.v2_010084-RA	0	0	0
