GeneInfo	CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_013643-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013648-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013647-RA	0	0	0	0	0	0	0	0	4	0	0	0
Caust.v2_013635-RA	0	0	2	0	0	0	1	0	0	0	0	0
Caust.v2_013653-RA	3	0	0	0	0	0	0	0	2	0	0	2
Caust.v2_013644-RA	0	0	0	0	0	0	0	3	2	0	0	0
Caust.v2_013641-RA	0	0	0	0	0	0	0	0	0	0	0	2
Caust.v2_013636-RA	0	0	0	0	1	0	0	0	0	2	0	0
Caust.v2_013646-RA	0	1	0	0	0	0	0	0	1	0	0	0
Caust.v2_013633-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013634-RA	2	0	0	0	3	0	1	0	2	1	1	0
Caust.v2_013651-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013642-RA	0	0	0	0	0	0	0	0	0	1	1	0
Caust.v2_013640-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013652-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013645-RA	0	0	0	0	0	0	0	2	2	0	2	0
Caust.v2_013639-RA	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_013650-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019416-RA	0	3	1	0	1	2	0	1	2	2	2	0
Caust.v2_019415-RA	0	2	2	1	0	1	1	5	0	1	1	0
Caust.v2_019202-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019204-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019203-RA	0	0	0	0	0	1	0	0	0	0	0	0
Caust.v2_014370-RA	24	14	14	31	19	47	11	17	14	26	9	9
Caust.v2_014371-RA	522	212	379	323	192	395	511	643	263	492	347	557
Caust.v2_014373-RA	6437	6929	6805	8549	7675	7761	7671	9827	7406	7117	6914	9146
Caust.v2_014368-RA	4310	3594	5169	4659	3520	4694	5033	4676	4180	4080	4793	5043
Caust.v2_014369-RA	241	90	111	134	94	628	76	73	517	45	60	56
Caust.v2_014372-RA	11	9	6	7	11	4	3	5	9	9	3	8
Caust.v2_014372-RC	20	13	7	17	12	5	16	23	23	17	10	12
Caust.v2_014372-RB	911	1107	1273	1363	1256	734	701	754	660	858	811	705
Caust.v2_014372-RB	14	26	20	28	21	15	4	14	13	14	6	6
Caust.v2_014374-RA	602	503	479	723	821	351	250	328	568	334	409	257
Caust.v2_014367-RA	46	47	31	56	36	27	24	37	44	30	35	21
Caust.v2_014375-RA	0	0	0	0	0	1	0	0	2	0	0	0
Caust.v2_018369-RA	924	771	843	624	590	405	437	543	738	917	833	380
Caust.v2_018370-RA	0	0	0	0	0	1	0	0	0	1	0	0
Caust.v2_019303-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019302-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019304-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019305-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019681-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019681-RB	76	49	94	45	48	55	55	64	64	60	97	111
Caust.v2_019681-RA	1	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019682-RA	13	6	8	9	1	4	3	11	11	3	4	8
Caust.v2_022078-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018678-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018680-RA	0	0	1	0	0	0	0	0	0	0	0	0
Caust.v2_018679-RA	1	0	0	0	0	1	0	1	0	0	0	0
Caust.v2_016488-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016489-RA	0	0	0	0	0	0	1	0	0	0	0	0
Caust.v2_016490-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016490-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016490-RB	0	0	0	0	0	0	0	0	1	0	1	0
Caust.v2_016490-RB	1	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016490-RB	0	0	0	0	0	1	0	0	0	0	0	0
Caust.v2_016491-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022168-RA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_018858-RA	0	0	0	0	0	0	0	0	0	1	0	0
Caust.v2_018860-RA	0	0	0	0	1	0	0	0	0	0	0	0
Caust.v2_018859-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018857-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022025-RA	22	36	17	88	12	17	5	4	60	22	23	8
Caust.v2_007643-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007643-RB	0	0	6	7	6	2	5	0	0	4	8	0
Caust.v2_007643-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007645-RE	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007645-RE	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007645-RE	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007645-RE	1273	914	1184	1051	775	1030	829	1208	939	958	767	1006
Caust.v2_007645-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007645-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007645-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007645-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007648-RA	17465	7777	11704	13617	6997	16115	21744	24726	9480	17382	11045	22117
Caust.v2_007651-RA	2030	2851	1964	4499	2639	2723	2976	3757	3169	3286	2820	3478
Caust.v2_007653-RA	3	4	1	4	2	3	2	2	3	4	0	2
Caust.v2_007654-RA	1599	1519	2145	2294	1509	1626	1372	1983	1855	1609	1928	1556
Caust.v2_007656-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007657-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007659-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007660-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007661-RA	412	343	527	379	406	413	355	535	474	346	321	330
Caust.v2_007662-RA	315	254	345	203	254	283	241	333	298	227	296	300
Caust.v2_007664-RA	946	627	922	662	854	959	496	792	1190	625	698	528
Caust.v2_007667-RA	815	519	584	716	540	654	563	764	552	564	563	738
Caust.v2_007669-RA	885	629	724	833	569	1140	653	1136	1153	657	609	1396
Caust.v2_007671-RA	1945	1264	1853	1395	1132	1748	1605	1946	1318	1282	1282	1929
Caust.v2_007674-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007642-RA	8	0	2	0	1	5	0	0	0	5	3	7
Caust.v2_007644-RA	326	126	175	215	90	255	270	358	158	214	171	481
Caust.v2_007646-RA	7	1	0	0	0	0	1	3	0	1	0	0
Caust.v2_007646-RD	0	1	0	1	0	0	0	0	0	0	0	0
Caust.v2_007646-RB	699	544	535	758	727	452	295	1089	681	470	517	430
Caust.v2_007646-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007646-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007649-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007649-RA	1981	1261	1654	1734	1229	1652	2265	2321	1483	1439	1449	2749
Caust.v2_007649-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007650-RA	134	80	101	114	88	89	95	104	80	71	96	117
Caust.v2_007655-RA	2158	1444	1929	1723	1270	1956	2224	2553	1685	1676	1652	2648
Caust.v2_007658-RA	1886	1421	1787	1718	1401	2542	2063	2570	2291	1581	1368	3014
Caust.v2_007663-RA	124	95	74	77	100	107	64	91	187	72	71	62
Caust.v2_007665-RA	1580	1216	1413	1696	1224	1328	1893	1968	1267	1243	1505	1969
Caust.v2_007666-RA	65	115	98	54	76	90	86	108	81	101	122	101
Caust.v2_007668-RA	1194	614	1049	918	682	1082	1115	1242	785	854	747	1445
Caust.v2_007670-RA	23288	20757	25022	23672	18539	19276	15844	22713	18470	18344	17623	21861
Caust.v2_007672-RA	45	33	39	27	27	31	83	44	31	45	34	107
Caust.v2_007673-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_007652-RA	11	9	19	15	3	11	16	22	15	7	6	8
Caust.v2_007647-RA	14	14	25	34	17	21	14	30	32	17	14	35
Caust.v2_019657-RA	176	75	107	87	38	170	202	236	128	94	101	340
Caust.v2_019656-RA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_020106-RA	72	23	54	23	5	69	108	169	19	60	28	151
Caust.v2_020105-RA	0	0	1	0	0	0	0	1	1	2	0	1
Caust.v2_021693-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017571-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017570-RA	419	466	489	536	362	332	129	304	502	371	289	147
Caust.v2_017575-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017572-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017574-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017576-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017573-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022631-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020150-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020151-RA	0	0	1	0	0	0	0	0	0	0	0	0
Caust.v2_006580-RA	2829	3397	2541	2520	2434	2353	1390	1819	2126	2047	2253	1702
Caust.v2_006582-RA	58	87	77	51	66	34	56	41	50	49	53	67
Caust.v2_006582-RB	53	55	48	25	44	24	59	58	60	30	50	71
Caust.v2_006583-RA	1717	846	1329	1262	924	1292	1083	1349	1094	1093	1004	1126
Caust.v2_006585-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006585-RB	250	521	268	523	509	240	242	329	281	215	328	230
Caust.v2_006585-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006586-RA	287	438	338	422	489	223	204	176	298	207	300	166
Caust.v2_006587-RA	1020	1725	1280	1300	1542	765	642	826	934	772	1032	603
Caust.v2_006590-RA	820	383	437	635	383	397	235	625	510	551	427	469
Caust.v2_006592-RA	31	15	30	21	29	26	20	19	22	26	18	27
Caust.v2_006584-RA	63	41	38	71	56	54	37	80	43	48	62	76
Caust.v2_006593-RA	0	0	0	0	1	0	0	0	2	1	0	1
Caust.v2_006581-RA	492	520	650	477	520	343	301	314	496	376	375	241
Caust.v2_006591-RA	39	16	9	30	22	22	7	14	32	20	6	7
Caust.v2_006588-RA	88	124	62	179	72	196	75	107	190	150	134	165
Caust.v2_006589-RA	0	1	4	1	0	1	1	0	0	3	1	1
Caust.v2_006594-RA	0	0	0	0	0	0	0	2	0	0	0	0
Caust.v2_006598-RA	1	1	0	2	0	0	1	2	0	1	0	1
Caust.v2_006603-RD	272	201	211	301	266	262	292	441	261	240	215	366
Caust.v2_006604-RA	325	237	313	372	336	306	418	521	360	287	258	517
Caust.v2_006605-RE	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006605-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006605-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006605-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006605-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006605-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006605-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006605-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006605-RA	129	90	179	134	122	61	36	96	98	105	146	62
Caust.v2_006605-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006605-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006599-RA	0	0	2	0	0	3	0	1	2	0	0	0
Caust.v2_006595-RA	0	1	0	0	1	0	0	0	0	0	0	0
Caust.v2_006601-RA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_006607-RA	0	0	0	0	1	0	0	0	0	0	0	1
Caust.v2_006600-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006597-RA	0	0	0	0	0	1	1	0	0	0	0	0
Caust.v2_006596-RA	1	1	1	1	5	2	1	3	4	3	3	1
Caust.v2_006602-RA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_006606-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006606-RA	0	1	0	0	0	1	0	0	0	0	0	1
Caust.v2_006606-RA	3	6	1	8	3	4	3	3	1	4	4	20
Caust.v2_006611-RA	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_006610-RA	6	0	4	3	8	9	6	17	7	9	7	12
Caust.v2_006609-RA	2	4	1	1	0	0	0	4	0	1	1	2
Caust.v2_006614-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006608-RA	0	0	0	0	0	0	0	0	0	0	2	0
Caust.v2_006613-RA	22	14	27	17	21	22	14	6	27	18	10	15
Caust.v2_006617-RA	0	0	0	3	3	1	0	0	5	0	0	0
Caust.v2_006620-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006624-RA	4629	4360	3434	3639	3915	3896	2121	3230	4598	4068	3271	1974
Caust.v2_006625-RA	0	3	1	1	0	0	0	0	1	0	0	1
Caust.v2_006636-RA	4	17	15	15	21	40	9	17	56	8	17	25
Caust.v2_006638-RA	0	1	2	5	1	5	1	0	2	6	1	0
Caust.v2_006621-RA	63	16	28	8	34	21	2	21	19	20	11	1
Caust.v2_006626-RB	0	0	0	0	1	0	0	1	0	0	0	0
Caust.v2_006626-RA	2	6	0	27	2	1	0	0	0	7	11	4
Caust.v2_006628-RA	0	10	3	8	9	10	1	4	16	3	7	4
Caust.v2_006631-RA	0	3	3	0	2	0	0	3	0	1	1	1
Caust.v2_006632-RA	0	2	2	1	1	2	6	7	7	5	2	1
Caust.v2_006633-RA	104	227	183	174	181	359	145	231	796	186	205	119
Caust.v2_006634-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006634-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006634-RB	814	673	841	1004	684	775	692	916	664	697	611	438
Caust.v2_006635-RA	0	0	0	0	0	0	1	0	0	2	0	3
Caust.v2_006612-RA	6	7	8	10	8	4	10	14	3	10	9	10
Caust.v2_006622-RA	8	2	5	0	1	3	1	0	1	1	1	0
Caust.v2_006623-RA	2	0	2	0	2	0	0	1	3	2	0	0
Caust.v2_006629-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006627-RA	0	0	0	2	1	1	0	0	2	0	0	0
Caust.v2_006630-RA	1	0	6	0	2	3	2	1	1	1	1	0
Caust.v2_006615-RA	1	0	2	0	2	0	1	1	0	0	0	2
Caust.v2_006618-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_006637-RA	0	0	0	0	0	0	1	0	0	0	0	0
Caust.v2_006619-RA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_006616-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020488-RA	0	0	0	0	0	0	0	0	0	0	1	0
Caust.v2_020489-RA	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_021387-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016751-RA	2	11	8	9	8	7	0	9	9	14	9	7
Caust.v2_016746-RA	0	1	0	1	0	0	0	2	0	0	2	0
Caust.v2_016749-RA	1	0	0	0	0	0	0	1	1	2	0	0
Caust.v2_016745-RA	0	0	1	0	0	0	1	1	4	1	0	0
Caust.v2_016750-RA	1	4	3	1	3	4	1	0	3	1	1	1
Caust.v2_016744-RA	0	1	0	0	0	0	1	0	0	0	1	0
Caust.v2_016748-RA	0	0	0	0	0	1	0	0	1	0	1	0
Caust.v2_016743-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016747-RA	0	0	0	0	0	0	2	0	1	1	0	0
Caust.v2_019855-RA	0	2	6	2	4	1	0	2	0	0	0	0
Caust.v2_019856-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019854-RA	0	1	0	0	0	0	0	0	0	3	0	1
Caust.v2_022543-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019596-RA	0	0	0	1	0	0	1	0	0	0	1	0
Caust.v2_019597-RA	2	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021567-RA	16	10	5	13	6	4	1	6	6	14	3	7
Caust.v2_020178-RA	58	28	48	62	43	37	35	53	43	42	41	39
Caust.v2_020179-RA	1	0	0	0	0	1	2	1	2	0	0	0
Caust.v2_021116-RA	0	2	2	3	1	2	1	2	1	0	2	1
Caust.v2_020561-RA	0	0	0	0	0	0	0	0	0	0	1	0
Caust.v2_020562-RA	0	0	0	0	3	1	0	0	1	0	0	0
Caust.v2_020981-RA	57	0	59	107	54	64	115	130	55	1	100	87
Caust.v2_020982-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018203-RA	1278	157	176	341	165	1047	10	12	341	549	330	1286
Caust.v2_018201-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018200-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018202-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015140-RA	14	23	40	43	52	36	15	28	10	20	43	31
Caust.v2_015142-RA	2857	5527	6781	8518	15288	4810	3982	3388	3	4556	11167	4110
Caust.v2_015141-RA	0	0	0	1	0	0	0	1	0	0	0	0
Caust.v2_015139-RA	272	85	86	771	39	103	680	529	1048	79	224	559
Caust.v2_015148-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015143-RA	0	2	0	1	1	3	0	9	12	0	2	0
Caust.v2_015145-RA	0	0	0	1	0	0	0	4	5	0	0	0
Caust.v2_015147-RA	0	0	0	0	0	0	0	1	2	2	0	0
Caust.v2_015146-RA	1	0	1	0	0	0	0	0	5	0	0	0
Caust.v2_015144-RA	0	0	0	2	0	0	0	3	1	0	0	1
Caust.v2_015149-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015150-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020944-RA	103	59	83	106	128	40	53	63	71	56	64	39
Caust.v2_020943-RA	0	1	0	0	0	0	0	1	2	0	0	0
Caust.v2_020294-RA	199	190	140	296	165	178	170	191	167	172	156	110
Caust.v2_009383-RA	1	1	0	0	0	0	0	1	3	0	0	0
Caust.v2_009384-RA	2	8	7	3	4	1	1	5	1	5	2	3
Caust.v2_009386-RA	4	3	1	1	1	9	6	2	0	8	1	1
Caust.v2_009392-RB	586	494	643	534	436	542	485	622	482	464	425	631
Caust.v2_009392-RB	16	5	5	20	7	9	9	6	3	6	6	14
Caust.v2_009392-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009392-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009392-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009392-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009392-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009392-RD	7952	6610	5504	6546	5096	3510	4161	4625	3644	5658	5213	4026
Caust.v2_009392-RE	0	0	0	0	0	0	0	0	0	0	1	0
Caust.v2_009394-RA	5	10	6	10	3	8	2	6	4	2	5	6
Caust.v2_009397-RA	369	227	385	222	188	335	233	392	297	281	268	226
Caust.v2_009385-RA	38	11	9	27	22	31	23	30	22	13	13	27
Caust.v2_009387-RA	0	0	0	0	1	4	0	1	3	2	2	2
Caust.v2_009388-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009388-RB	0	3	2	5	2	0	1	1	7	1	0	0
Caust.v2_009388-RB	52	129	110	86	59	36	47	55	72	74	75	34
Caust.v2_009389-RA	28368	37682	44443	25176	29040	17206	20873	21977	25767	26530	37717	14883
Caust.v2_009390-RA	1474	1451	1366	1781	1263	1341	1106	1478	1333	1147	1328	1424
Caust.v2_009391-RA	654	607	720	701	699	603	558	662	576	440	648	616
Caust.v2_009393-RA	1385	1272	1045	1345	881	467	531	729	396	927	1002	499
Caust.v2_009395-RA	54	88	58	84	40	60	87	91	45	59	78	87
Caust.v2_009396-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009396-RA	0	2	2	0	0	0	0	0	0	0	1	1
Caust.v2_009396-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009396-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009396-RB	416	322	340	479	309	259	408	443	305	297	324	370
Caust.v2_009402-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009399-RA	0	0	0	4	0	0	0	1	1	0	1	0
Caust.v2_009400-RA	0	0	0	0	1	1	0	0	1	0	0	0
Caust.v2_009398-RA	1	2	1	2	2	3	0	1	3	1	0	3
Caust.v2_009401-RA	0	0	0	0	0	0	0	1	0	2	0	0
Caust.v2_009405-RA	0	0	0	0	0	0	0	1	0	1	1	0
Caust.v2_009404-RA	0	0	0	0	1	0	0	2	0	0	0	0
Caust.v2_009403-RA	113	163	111	204	166	103	53	82	111	76	151	40
Caust.v2_009406-RA	796	6822	3716	8307	5869	851	4085	2509	1626	2455	4696	1633
Caust.v2_009407-RA	198	262	168	246	205	114	53	78	169	139	206	25
Caust.v2_009411-RA	3	5	6	7	2	4	0	2	5	9	3	0
Caust.v2_009410-RA	0	2	1	0	0	0	0	3	1	0	1	3
Caust.v2_009408-RA	1	0	0	1	0	0	0	1	0	0	0	0
Caust.v2_009414-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009409-RA	0	0	0	0	0	0	0	0	2	0	0	1
Caust.v2_009412-RA	1	0	0	0	0	1	0	0	1	3	0	0
Caust.v2_009413-RA	59	33	48	17	17	30	32	57	32	34	18	34
Caust.v2_009418-RA	175	123	154	99	73	156	136	158	115	132	113	163
Caust.v2_009420-RA	0	0	0	1	0	0	0	0	2	0	2	0
Caust.v2_009417-RA	0	0	0	0	0	0	1	0	0	1	0	0
Caust.v2_009415-RA	0	0	0	0	0	0	1	1	0	0	0	0
Caust.v2_009419-RA	0	0	0	0	0	1	0	0	0	2	0	0
Caust.v2_009423-RA	0	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_009422-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009421-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_009416-RA	0	2	0	0	0	0	0	0	0	2	0	0
Caust.v2_021031-RA	0	0	0	0	0	0	0	0	1	0	1	1
Caust.v2_021032-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021162-RA	1	7	21	47	33	18	7	18	22	23	20	5
Caust.v2_022229-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015905-RA	154	57	117	108	70	136	115	238	103	113	79	119
Caust.v2_015907-RA	160	45	65	62	42	136	116	180	69	69	49	55
Caust.v2_015908-RA	1262	650	878	1304	829	1472	1165	2069	958	956	765	700
Caust.v2_015909-RA	52	41	79	81	82	60	52	44	92	71	54	56
Caust.v2_015911-RA	324	323	422	327	352	418	328	349	460	366	333	328
Caust.v2_015912-RA	89	83	85	120	64	62	82	88	89	49	79	56
Caust.v2_015910-RB	74	67	136	69	92	93	98	101	121	82	80	96
Caust.v2_015910-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015910-RA	500	421	475	593	376	452	492	521	394	350	446	760
Caust.v2_015906-RA	0	1	4	1	2	2	7	2	5	0	7	3
Caust.v2_018378-RA	829	825	944	1253	696	671	913	1039	831	765	932	1116
Caust.v2_018379-RA	110	63	109	72	124	64	30	70	102	78	63	56
Caust.v2_018229-RA	1	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018228-RA	75	59	38	67	23	15	32	36	32	60	32	41
Caust.v2_018227-RA	0	1	0	3	4	3	0	2	2	1	2	0
Caust.v2_018230-RA	48	0	0	41	17	0	0	21	22	0	0	0
Caust.v2_018887-RA	101	0	152	0	0	0	0	103	0	0	0	0
Caust.v2_018888-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021464-RA	0	0	0	0	0	2	1	0	6	2	5	0
Caust.v2_021382-RA	19	83	45	72	44	57	13	61	22	45	164	43
Caust.v2_021501-RA	0	0	0	0	0	1	0	0	0	0	0	0
Caust.v2_020367-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020366-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017105-RA	10	5	0	3	6	3	3	2	5	4	3	4
Caust.v2_017108-RA	26	0	1	0	6	2	0	0	1	22	1	0
Caust.v2_017110-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017106-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017107-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017109-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021188-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022707-RA	6	7	3	6	2	7	13	3	8	4	5	0
Caust.v2_008842-RA	167	44	2	116	94	157	100	194	4	49	2	175
Caust.v2_008844-RA	1192	438	683	690	413	827	1099	1151	719	596	529	1490
Caust.v2_008847-RA	643	1626	1215	1865	763	752	739	932	1074	950	1420	1310
Caust.v2_008848-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008848-RA	765	374	668	589	518	612	829	864	500	429	402	1062
Caust.v2_008848-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008851-RA	811	234	325	614	230	415	760	1170	673	617	411	606
Caust.v2_008852-RA	17	3	8	4	2	4	12	11	5	7	3	7
Caust.v2_008854-RA	16	5	16	19	8	6	6	164	207	124	5	6
Caust.v2_008855-RA	490	428	1143	918	626	959	146	559	388	402	826	1406
Caust.v2_008841-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008841-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008841-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008841-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008841-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008841-RD	3	0	2	3	1	1	1	10	2	7	5	6
Caust.v2_008841-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008843-RG	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008843-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008843-RE	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008843-RE	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008843-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008843-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008843-RD	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008843-RC	917	631	767	793	586	695	897	1163	689	582	744	1374
Caust.v2_008843-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008843-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008843-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008843-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008843-RC	0	0	0	0	0	0	0	0	0	0	0	0
