GeneInfo	CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_011726-RA	1068	919	913	1092	743	945	951	1255	751	831	895	1243
Caust.v2_011729-RA	1433	903	1063	1345	867	1180	1121	1848	1336	1274	1268	1645
Caust.v2_011733-RA	10	14	6	9	8	6	15	26	2	8	6	38
Caust.v2_011733-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_011733-RA	505	545	576	756	541	548	553	675	482	540	544	556
Caust.v2_011733-RB	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_011733-RC	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_011736-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_011738-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_011739-RA	146	76	152	194	128	78	36	144	126	98	124	49
Caust.v2_011722-RC	59	49	54	69	51	44	80	72	103	42	88	92
Caust.v2_011722-RB	67	51	83	90	46	70	91	71	55	58	62	94
Caust.v2_011722-RA	0	1	0	3	4	1	1	0	9	2	0	2
Caust.v2_011722-RA	8	18	19	15	7	7	11	28	12	11	17	18
Caust.v2_011722-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_011725-RA	179	152	151	193	115	179	165	216	139	147	141	372
Caust.v2_011727-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_011728-RA	0	0	0	3	2	0	0	0	1	1	0	1
Caust.v2_011730-RA	504	678	546	715	504	436	423	595	494	417	430	807
Caust.v2_011732-RA	2006	2107	1814	2593	2181	2126	3071	3772	1891	1861	2083	4253
Caust.v2_011734-RA	11864	29926	15597	26328	17760	18236	17611	24152	23813	16549	26529	20616
Caust.v2_011735-RA	6630	4325	5232	6465	4669	4854	3987	6929	4835	5019	4992	5304
Caust.v2_011737-RA	4711	3485	4264	4638	3295	3579	4192	5426	3281	3533	3660	4697
Caust.v2_011740-RA	0	0	3	1	0	0	1	0	0	0	0	1
Caust.v2_011731-RA	49	40	51	46	37	28	65	60	43	49	36	65
Caust.v2_021764-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022397-RA	0	0	0	0	1	0	0	0	0	0	0	0
Caust.v2_022745-RA	1	0	0	1	0	0	0	0	2	0	3	0
Caust.v2_013500-RA	1	3	2	5	2	0	4	3	1	1	1	4
Caust.v2_013510-RA	133	87	97	117	82	80	82	102	90	63	69	297
Caust.v2_013489-RA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013503-RA	0	0	1	1	3	1	0	0	2	1	0	1
Caust.v2_013493-RA	3	0	0	0	0	0	1	0	0	0	0	0
