GeneInfo	BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
XM_012311183.2	187	263	193	199	177	233	248	190	160	198	140	158
XM_012311377.2	520	480	464	389	341	332	510	368	323	433	252	345
XM_012311106.2	1469	1621	1314	1249	1115	1270	1692	1229	1042	1302	1132	1119
LOC110120352	37	50	45	44	23	39	58	47	35	28	29	31
XM_003392820.3	1075	1040	677	733	589	711	511	827	986	473	614	630
XM_012310957.2	498	736	548	667	518	641	747	477	471	541	620	520
XM_012310646.2	2	6	2	5	3	0	4	6	3	3	1	1
XM_003392817.3	327	198	289	254	170	201	241	262	205	208	161	189
XM_003392816.3	1065	1098	953	940	780	803	1038	842	733	745	683	753
XM_003392815.3	1543	2306	1921	2001	1388	1775	1758	1625	1500	1375	1390	1762
XM_003392814.3	659	664	527	440	459	532	540	447	493	467	358	455
XM_003392813.3	0	0	0	0	0	0	0	0	0	0	0	0
XM_012310222.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392812.3	536	814	590	674	466	648	647	560	440	486	574	570
XM_020864991.1	423	498	521	446	355	333	466	460	414	436	267	304
XM_020864990.1	187	187	157	136	153	154	156	160	139	156	115	105
XM_003392895.3	959	1465	1136	1101	1015	1182	1378	1186	1026	1032	970	993
XM_012309635.2	302	391	372	373	258	305	335	251	399	264	237	279
XM_003392888.3	5990	6461	4904	5385	4459	5840	5579	4710	5261	3459	3867	4305
XM_012309400.2	0	0	0	0	0	0	0	0	2	0	0	0
XM_012309462.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392894.3	2906	4419	2880	3790	3212	4281	5018	3104	3303	2816	3137	3206
XM_003392897.3	9044	10283	9065	9294	7753	8569	10964	7745	9128	9228	7041	7023
XM_012309217.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012309160.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020862935.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308923.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020862944.1	0	0	3	0	0	0	0	1	0	0	0	0
XM_012308977.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_020862930.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392896.3	655	653	722	603	483	603	780	534	499	575	454	515
XM_020868369.1	226	201	240	205	156	158	225	182	168	193	118	134
XM_003392890.3	17	9	5	7	9	8	15	13	9	14	2	4
XM_012308668.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308562.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308609.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392887.3	5174	4048	5446	4928	3525	4571	5811	3947	3463	3187	2845	3248
XM_003392885.3	6	9	8	7	6	7	5	1	5	5	4	9
XM_012308345.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_012308165.2	0	0	0	0	0	0	0	0	0	0	0	0
XM_003392884.3	1392	1592	1551	1292	1204	1194	1500	1349	1200	1009	820	1078
XM_003392883.3	399	462	353	391	351	399	472	288	349	410	406	316
XR_002308011.1	61	125	75	63	35	21	49	78	26	27	38	28
XR_002308013.1	1	2	0	0	1	0	1	0	2	1	4	2
XM_020864373.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020864366.1	0	0	0	0	0	0	0	0	0	0	0	0
XM_020864371.1	0	0	0	0	0	0	0	0	0	1	0	0
XM_003392882.3	3	4	14	1	2	0	4	0	3	1	0	0
XM_020864355.1	29	32	68	9	9	5	26	19	12	29	6	16
XM_012307699.1	11	8	1	3	6	2	6	4	1	7	1	0
XM_012321140.2	34	35	40	23	16	15	37	31	32	23	32	13
XR_001099795.1	44	6	24	12	18	9	29	18	26	30	1	8
